Ticker,Amount,Volume,Profit,Consumed
ADR,13.433333333333334,861377.8552416774,139961.90490136395,6.4
AEN,0.1,173201.61290322582,135487.40738299632,0
AFP,1.9666666666666666,59000.0,-476239.8159410257,1.2000000000000002
AFR,17.266666666666662,329792.0343568075,94938.22272165262,16.26666666666667
AGS,0.5666666666666667,264576.78091397847,76645.85654078957,0
AHP,72.40000000000002,845646.1538672118,260708.0038012844,0
ALO,43050.43333333338,8670348.880626861,6891707.684262359,43979.99883333338
AL,27747.63333333336,22552639.08715667,3669305.1053081304,24519.95666666666
ANZ,0.43333333333333335,0.0,-40344.19656879525,0.4
APT,34.79999999999999,938279.8295275078,506866.66709891247,0
ATP,35.333333333333336,924667.0613133333,62190.30817792069,34.16666666666666
AUO,928.1333333333334,479401.37709251203,428273.24497504137,919.7
AU,613.1333333333333,897473.7488653718,104819.22052211696,609.8666666666667
AWH,18.333333333333332,289298.4907134071,24726.894139332813,0
BAI,69.46666666666665,650302.475135719,271012.02439235576,69.13333333333334
BER,3372.266666666666,1386772.232211248,1201003.992372853,2420.9333333333348
BFP,7.533333333333332,179162.31884057968,-86456.39079830529,6.533333333333334
BFR,31.96666666666667,101529.10365089585,-1116.3937803986532,13.200000000000001
BGS,1.3,269620.0,94832.53421156289,0
BHP,213.86666666666662,838687.3987296665,177078.25353004556,0
BND,56.666666666666664,19032.356383497514,-6507.231942935374,0
BOR,572.3000000000002,298206.10159951384,250916.61910823098,360.73333333333323
BR1,5.0333333333333306,5551969.810639636,2512406.80212156,0
BR2,1.3666666666666671,1254009.3669250652,224568.2187742767,0
BRM,6430.966666666666,1362951.8612259862,1179712.3704926735,6464.0
BRP,0.8,4013.202756619514,654.6330090108478,0
BRS,0.36666666666666664,122833.33333333333,8384.211122180497,0
BTS,3450.7999999999993,1800430.0257074784,1523604.7347883002,2484.6666666666665
BWH,11.333333333333334,76344.69135802469,19187.3768277258,0
CF,292.99999999999994,1712503.000532676,172631.88525429368,236.33333333333343
CHA,27.566666666666656,806580.2469135799,-822739.237663391,27.9
CLI,3242.5333333333333,858025.648776339,750852.6812459755,2598.5333333333347
COT,1410.3666666666675,3224960.5875210846,856431.769395498,925.9244444444441
CQL,1.6000000000000012,3414282.918449615,1566993.9922454138,0
CQM,2.966666666666667,3648186.5113092107,1171727.6135248332,0
CQS,1.8000000000000007,1766349.2734615393,673003.8326176609,0
CQT,0.06666666666666667,22982.831539784947,10410.33529932383,0
CTF,75.83333333333333,1391417.6078126272,-10100.94865335359,101.49999999999999
CUO,3563.3666666666663,853587.5996164453,669560.684544199,2775.333333333335
CU,1665.2000000000007,2514107.093268617,776058.8805196577,1499.9333333333334
DA,36.733333333333334,1956690.2261857921,547504.6869360971,26.966666666666658
DCL,72.39999999999998,389652.6035215421,-104123.10098110231,43.03333333333333
DCM,156.26666666666668,587417.108216535,-18165.489386730736,127.4
DCS,696.2666666666668,1139298.001625397,333360.0075879902,607.9466666666666
DD,7.466666666666665,199387.6543209876,-57325.33537400556,5.799999999999999
DOU,0.7,169166.66666666666,-43003.50811027595,0
DV,7.766666666666666,98467.51845658262,6162.941243872319,4.633333333333332
EDC,1695.6666666666679,18823677.57902496,5388673.736934615,0
ENG,1.6333333333333335,1714296.8418333337,1000149.3301686024,0
FEO,20512.266666666703,2255158.882229931,1407688.6084313462,19560.693333333365
FE,12225.43333333335,9014080.097048737,2402862.2007608227,11199.146666666664
FIR,2.0333333333333337,2541666.666666667,467992.0598224297,1.7999999999999998
FSE,3.7666666666666666,3663116.285388888,1773934.6665980483,0
GAL,11017.199999999984,2086140.1267917356,1550635.6232888827,9573.900000000003
GCH,0.43333333333333335,2069.803921568627,-10756.964565116734,2.7
GEN,0.19999999999999998,37007.882878378376,7144.175121145653,0
GNZ,2.7,39348.99632370985,-58176.81941559563,0.7999999999999999
H2O,752291.4333333313,32220241.69832588,23709445.822774343,645559.4800000013
HAB,3.3666666666666676,426449.53514120687,97212.47750131291,0
HAL,28649.266666666663,9202145.259215327,7143618.65121644,24328.733333333315
HCB,1.7666666666666675,10664098.154829552,3006484.2021036022,0
HHP,1.2000000000000002,6521.399946034343,852.53187136311,0
HNZ,0.39999999999999997,29999.999999999996,-46988.82548199378,0.4
HPR,0.13333333333333333,106666.66666666667,-86987.35001458487,0
HTE,0.1,416666.6666666667,323287.4177099507,0
HYR,0.8333333333333333,1455272.1089002267,-944314.6148761931,0
IDC,4218.299999999999,64598036.16561712,17783327.646874312,0
IMM,5.799999999999999,427597.40611799987,-132787.79489014007,4.633333333333332
KV,658.5666666666663,14955751.53487298,2274227.0416758503,540.5999999999998
LCB,3.4000000000000004,2433125.5315141245,1047068.1742714136,0
LD,112.99999999999999,1190165.4153643833,727427.4254339609,100.86666666666666
LES,61.233333333333334,74094.81944141447,67340.578089646,46.06666666666667
LFE,12.83333333333333,2453632.6910740742,559416.2595189023,0
LFL,3.6999999999999997,870346.5165592592,-33546.278072471156,0
LFP,34.3,286879.7286345628,45817.28670151344,23.400000000000002
LHP,562.3999999999999,1834599.4809967543,345922.132329554,0
LIO,4339.5999999999985,962058.6540723759,842530.761813554,3847.3333333333335
LI,1538.9333333333334,2375663.4548996706,845907.9540957803,1417.2
LSL,0.39999999999999997,95556.36575,-26438.6641478082,0
LST,23641.19999999999,3695224.4981329166,3206852.9650764274,22555.466666666667
LU,0.4666666666666667,44744.53551912569,-17118.6817046575,0
MAG,66.9,17044.441289396964,5988.4693213144055,2.266666666666667
MCB,0.39999999999999997,150310.04428,67957.17932594533,0
MFE,12.133333333333331,1494331.8061858732,436928.77404733235,0
MFL,2.5666666666666664,457884.5442531876,143823.88154423557,0
MGS,1640.7666666666664,249068.0637778264,158683.05992714918,1344.833333333333
MLI,68.19999999999997,1165540.6227153684,606979.013631212,69.13333333333334
MSL,4.399999999999999,766089.8471395347,226208.1697678457,0
NF,10.999999999999993,88027.3605538461,42982.06949867222,7.466666666666665
NL,1400.6666666666665,6917966.348736666,2731166.1481086053,1476.6000000000004
NN,69.13333333333334,2831138.7841485348,180835.85278563085,70.16666666666667
NOZ,27.066666666666666,933800.0,-628398.8648410363,29.133333333333336
NV1,4.133333333333333,771750.0,124972.930118256,5.0333333333333306
NV2,2.1,402523.41086999996,-16582.051434063294,1.3666666666666671
OFF,16556.66666666668,1768875.0059836016,236852.1496557706,0
OS,32.7,1740793.9721420852,590025.7606907974,17.099999999999994
O,47900.13333333333,6828700.253121035,5699382.502803754,40526.837305555564
PE,929166.6666666676,8039699.876675642,2082927.6760328296,866701.4999999993
PG,397978.3333333337,16804443.445245307,7285607.902030865,347777.4396111111
PK,40.33333333333333,52338.33520869526,-6015.154803106759,0.0
PSL,506.16666666666686,2663495.74784498,1429314.285714152,315.0
PSM,789.7666666666665,2285116.1108171274,1223645.7603695395,688.8000000000001
PSS,881.8333333333335,1120524.163141026,527918.7919113179,801.6666666666667
QCR,2.666666666666667,2416105.326933333,513177.31175241416,0
RAG,3.3000000000000003,1866857.142857143,152050.91935020956,3.6333333333333337
RAT,238527.00000000044,38556365.53760831,13784006.683188237,227611.1270054899
RCS,6.1,1403000.0,292863.37762317446,5.333333333333334
RCT,0.9666666666666667,857343.6566333334,198354.67846692726,0
RDL,0.36666666666666664,286000.0,-11169.083568315642,0
RHP,25.199999999999996,90099.94254545463,-20422.652466212476,0
SAL,57.46666666666668,374913.30678149476,218028.29308630317,50.699999999999996
SA,37.46666666666668,226465.48538505757,124180.82448401621,37.300000000000004
SCB,0.3,24363.389244604314,-3211.500022169067,0
SCR,308.36666666666673,40953.51410417668,26797.671127271977,130.23333333333332
SEQ,1.5666666666666667,23471.411192214113,3307.1894692168307,1.2333333333333334
SFE,10.466666666666663,608106.4789987877,41778.926596166806,0
SFL,0.8,100427.32558139536,51646.98177764416,0
SIL,59.20000000000002,215708.68047006658,84293.02579577295,42.36666666666667
SIO,13658.600000000006,2028279.3386590406,1625201.4539610571,11701.491666666665
SI,2371.666666666665,3395699.5581036075,-200614.6035697293,1987.1333333333332
SNM,9.266666666666664,1235775.2250656453,255685.81647229858,6.2333333333333325
SRP,13.666666666666666,136792.06809176595,-183284.88696556975,0
SSC,1332.2000000000003,719577.9386565955,178890.91125278978,0
SSL,2.1666666666666665,106709.98767716532,34835.9713154794,0
STL,3459.866666666666,6180026.056639115,1220796.0700410071,3204.064295238096
STR,79.46666666666665,208861.08963905173,47062.29956444705,0
SUN,718.6666666666664,320648.30672040005,-29636.592916580896,0
TAI,394.9666666666667,344574.22346971347,322816.6729216633,168.86666666666667
TCB,0.03333333333333333,540.8333333333334,-6.560091026193787,0
TCO,177.90000000000003,91500.38329416724,79250.39940576485,127.23333333333333
TCU,6.4,710400.0,-268665.63470545714,6.433333333333335
THP,285.06666666666683,1532098.684822696,327586.60439004865,305.06666666666666
TIO,7575.566666666664,1506091.5126031141,1193104.768548528,5960.0
TI,2980.0,4754246.771022619,1491950.146374866,2887.233333333333
TK,12.23333333333333,407406.6841324964,43537.8783949435,8.2
TS,1114.7000000000003,143949.7686879214,92778.48504391861,1155.7053333333329
TUB,1213.333333333333,302563.7929085989,39144.33741868791,0
UTS,179.0333333333333,1235068.835584531,333226.7509552453,27.266666666666666
VCB,0.4666666666666666,274166.6666666666,45939.164285427505,0
VSC,0.2333333333333333,5086.666666666666,-1616.9419921092674,0
WAI,70.16666666666667,7222407.19479374,2554580.9206769024,50.533333333333324
WCB,2.266666666666666,1651374.7154285712,635008.1031269355,0
WM,38.83333333333334,211098.06849841707,-933.3015188662239,32.7
WOR,0.23333333333333334,31937.5,-11051.535884698567,0
W,496.9333333333333,15201077.307593696,10688326.646589072,367.2350666666666
ZIR,191.13333333333335,101370.24370060605,90841.27122676691,324.6666666666668
AAR,31.8,499865.0532101693,101468.63534657007,14.499999999999995
ABH,508.5333333333334,23522652.90153334,1244744.8558477305,30.740968660968658
ACS,11.033333333333331,1844816.3041855667,248274.45250080986,10.933333333333334
ADE,397.3999999999998,15403435.835044375,1437556.2046584208,22.946324786324787
ADS,10.999999999999996,1551265.0229999993,414746.03502573026,0
AEF,205.93333333333322,842293.5131714884,258312.41836033878,0
AIR,11.13333333333333,2075794.3925233637,192784.35068811703,8.533333333333333
ALE,3428.800000000001,4523922.942257971,2215798.8934168243,3086.527550427349
ALG,7985.999999999999,1848156.6571781903,471545.63681877346,5685.292868217065
AMM,10852.399999999998,1195888.1645493107,598061.4072677009,8873.511111111115
AR,2610.100000000001,1535209.1296602513,1407252.349749158,1544.8666666666659
ASE,443.90000000000015,16370829.943193318,1017358.4284968959,31.304470655270663
AST,1336.6666666666665,2680466.408184004,-46154.51965860099,1011.6000000000001
ATA,222.9666666666666,6483927.955468433,1306623.5512968583,4.214628490028493
AWF,8.333333333333334,65535.97655000001,-990.8484116143186,9.299999999999997
BAC,214.66666666666666,807728.4132161954,611969.3051282129,56.66666666666667
BBH,2954.599999999998,7455539.617244005,1541429.619766569,2030.674085337133
BCO,4104.666666666665,2568362.818393512,732430.7805505678,3416.633333333333
BDE,2358.3999999999965,5316242.18191122,1441719.8086511742,819.572342288699
