Ticker,Amount,Volume,Profit
DCS,696.2666666666668,1139298.001625397,333360.0075879902
DD,7.466666666666665,199387.6543209876,-57325.33537400556
DOU,0.7,169166.66666666666,-43003.50811027595
DV,7.766666666666666,98467.51845658262,6162.941243872319
EDC,1695.6666666666679,18823677.57902496,5388673.736934615
ENG,1.6333333333333335,1714296.8418333337,1000149.3301686024
FEO,20512.266666666703,2255158.882229931,1407688.6084313462
FE,12225.43333333335,9014080.097048737,2402862.2007608227
FIR,2.0333333333333337,2541666.666666667,467992.0598224297
FSE,3.7666666666666666,3663116.285388888,1773934.6665980483
GAL,11017.199999999984,2086140.1267917356,1550635.6232888827
GCH,0.43333333333333335,2069.803921568627,-10756.964565116734
GEN,0.19999999999999998,37007.882878378376,7144.175121145653
GNZ,2.7,39348.99632370985,-58176.81941559563
H2O,752291.4333333313,32220241.69832588,23709445.822774343
HAB,3.3666666666666676,426449.53514120687,97212.47750131291
HAL,28649.266666666663,9202145.259215327,7143618.65121644
HCB,1.7666666666666675,10664098.154829552,3006484.2021036022
HHP,1.2000000000000002,6521.399946034343,852.53187136311
HNZ,0.39999999999999997,29999.999999999996,-46988.82548199378
HPR,0.13333333333333333,106666.66666666667,-86987.35001458487
HTE,0.1,416666.6666666667,323287.4177099507
HYR,0.8333333333333333,1455272.1089002267,-944314.6148761931
IDC,4218.299999999999,64598036.16561712,17783327.646874312
IMM,5.799999999999999,427597.40611799987,-132787.79489014007
KV,658.5666666666663,14955751.53487298,2274227.0416758503
LCB,3.4000000000000004,2433125.5315141245,1047068.1742714136
LD,112.99999999999999,1190165.4153643833,727427.4254339609
LES,61.233333333333334,74094.81944141447,67340.578089646
LFE,12.83333333333333,2453632.6910740742,559416.2595189023
LFL,3.6999999999999997,870346.5165592592,-33546.278072471156
LFP,34.3,286879.7286345628,45817.28670151344
LHP,562.3999999999999,1834599.4809967543,345922.132329554
LIO,4339.5999999999985,962058.6540723759,842530.761813554
LI,1538.9333333333334,2375663.4548996706,845907.9540957803
LSL,0.39999999999999997,95556.36575,-26438.6641478082
LST,23641.19999999999,3695224.4981329166,3206852.9650764274
LU,0.4666666666666667,44744.53551912569,-17118.6817046575
MAG,66.9,17044.441289396964,5988.4693213144055
MCB,0.39999999999999997,150310.04428,67957.17932594533
MFE,12.133333333333331,1494331.8061858732,436928.77404733235
MFL,2.5666666666666664,457884.5442531876,143823.88154423557
MGS,1640.7666666666664,249068.0637778264,158683.05992714918
MLI,68.19999999999997,1165540.6227153684,606979.013631212
MSL,4.399999999999999,766089.8471395347,226208.1697678457
NF,10.999999999999993,88027.3605538461,42982.06949867222
NL,1400.6666666666665,6917966.348736666,2731166.1481086053
NN,69.13333333333334,2831138.7841485348,180835.85278563085
NOZ,27.066666666666666,933800.0,-628398.8648410363
NV1,4.133333333333333,771750.0,124972.930118256
NV2,2.1,402523.41086999996,-16582.051434063294
OFF,16556.66666666668,1768875.0059836016,236852.1496557706
OS,32.7,1740793.9721420852,590025.7606907974
O,47900.13333333333,6828700.253121035,5699382.502803754
PE,929166.6666666676,8039699.876675642,2082927.6760328296
PG,397978.3333333337,16804443.445245307,7285607.902030865
PK,40.33333333333333,52338.33520869526,-6015.154803106759
PSL,506.16666666666686,2663495.74784498,1429314.285714152
PSM,789.7666666666665,2285116.1108171274,1223645.7603695395
PSS,881.8333333333335,1120524.163141026,527918.7919113179
QCR,2.666666666666667,2416105.326933333,513177.31175241416
RAG,3.3000000000000003,1866857.142857143,152050.91935020956
RAT,238527.00000000044,38556365.53760831,13784006.683188237
RCS,6.1,1403000.0,292863.37762317446
RCT,0.9666666666666667,857343.6566333334,198354.67846692726
RDL,0.36666666666666664,286000.0,-11169.083568315642
RHP,25.199999999999996,90099.94254545463,-20422.652466212476
SAL,57.46666666666668,374913.30678149476,218028.29308630317
SA,37.46666666666668,226465.48538505757,124180.82448401621
SCB,0.3,24363.389244604314,-3211.500022169067
SCR,308.36666666666673,40953.51410417668,26797.671127271977
SEQ,1.5666666666666667,23471.411192214113,3307.1894692168307
SFE,10.466666666666663,608106.4789987877,41778.926596166806
SFL,0.8,100427.32558139536,51646.98177764416
SIL,59.20000000000002,215708.68047006658,84293.02579577295
SIO,13658.600000000006,2028279.3386590406,1625201.4539610571
SI,2371.666666666665,3395699.5581036075,-200614.6035697293
SNM,9.266666666666664,1235775.2250656453,255685.81647229858
SRP,13.666666666666666,136792.06809176595,-183284.88696556975
SSC,1332.2000000000003,719577.9386565955,178890.91125278978
SSL,2.1666666666666665,106709.98767716532,34835.9713154794
STL,3459.866666666666,6180026.056639115,1220796.0700410071
STR,79.46666666666665,208861.08963905173,47062.29956444705
SUN,718.6666666666664,320648.30672040005,-29636.592916580896
TAI,394.9666666666667,344574.22346971347,322816.6729216633
TCB,0.03333333333333333,540.8333333333334,-6.560091026193787
TCO,177.90000000000003,91500.38329416724,79250.39940576485
TCU,6.4,710400.0,-268665.63470545714
THP,285.06666666666683,1532098.684822696,327586.60439004865
TIO,7575.566666666664,1506091.5126031141,1193104.768548528
TI,2980.0,4754246.771022619,1491950.146374866
TK,12.23333333333333,407406.6841324964,43537.8783949435
TS,1114.7000000000003,143949.7686879214,92778.48504391861
TUB,1213.333333333333,302563.7929085989,39144.33741868791
UTS,179.0333333333333,1235068.835584531,333226.7509552453
VCB,0.4666666666666666,274166.6666666666,45939.164285427505
VSC,0.2333333333333333,5086.666666666666,-1616.9419921092674
WAI,70.16666666666667,7222407.19479374,2554580.9206769024
WCB,2.266666666666666,1651374.7154285712,635008.1031269355
WM,38.83333333333334,211098.06849841707,-933.3015188662239
WOR,0.23333333333333334,31937.5,-11051.535884698567
W,496.9333333333333,15201077.307593696,10688326.646589072
ZIR,191.13333333333335,101370.24370060605,90841.27122676691
AAR,31.8,499865.0532101693,101468.63534657007
ABH,508.5333333333334,23522652.90153334,1244744.8558477305
ACS,11.033333333333331,1844816.3041855667,248274.45250080986
ADE,397.3999999999998,15403435.835044375,1437556.2046584208
ADS,10.999999999999996,1551265.0229999993,414746.03502573026
AEF,205.93333333333322,842293.5131714884,258312.41836033878
AIR,11.13333333333333,2075794.3925233637,192784.35068811703
ALE,3428.800000000001,4523922.942257971,2215798.8934168243
ALG,7985.999999999999,1848156.6571781903,471545.63681877346
AMM,10852.399999999998,1195888.1645493107,598061.4072677009
AR,2610.100000000001,1535209.1296602513,1407252.349749158
ASE,443.90000000000015,16370829.943193318,1017358.4284968959
AST,1336.6666666666665,2680466.408184004,-46154.51965860099
ATA,222.9666666666666,6483927.955468433,1306623.5512968583
AWF,8.333333333333334,65535.97655000001,-990.8484116143186
BAC,214.66666666666666,807728.4132161954,611969.3051282129
BBH,2954.599999999998,7455539.617244005,1541429.619766569
BCO,4104.666666666665,2568362.818393512,732430.7805505678
BDE,2358.3999999999965,5316242.18191122,1441719.8086511742
BEA,13035.333333333361,3381920.3821102073,1778352.1324362261
BE,1210.4666666666674,2804981.5979801537,503636.79660619155
BGC,1297.6666666666663,776611.1217027078,108870.18481756229
BGO,496.0,1082621.909515875,380092.5025515632
BID,0.4666666666666667,21175.0,-3051.5759743433828
BLE,38.96666666666667,117810.15285289465,42918.118289865044
BL,48.53333333333334,467324.45692053344,314207.8078149469
BMF,43.03333333333333,1088424.6844966444,332222.9904817604
BOS,380.26666666666654,2159860.4703007992,1152373.4311680098
BRO,284.90000000000003,640204.0976363181,229758.9608718405
BSC,17.833333333333336,550356.4814814816,-65519.39808517719
BSE,3764.2333333333318,6179127.34303881,1186061.704646382
BTA,286.5666666666677,428346.81930504023,45863.40624298933
BWS,82.69999999999999,2093494.4270513388,826815.9510377138
CAF,6484.733333333331,8840165.827352969,848305.4325525155
CAP,810.5,196791.15113592675,44723.55498450223
CA,109.30000000000001,78830.30349487705,8608.63656626002
CBL,31.733333333333338,2889572.6585428184,-6706.925318481287
CBM,18.233333333333334,1150969.8917131883,36734.494005379296
CBS,44.599999999999994,1877467.0078178167,132449.5875926531
CCD,0.03333333333333333,1921.680790960452,470.3098184419812
CC,0.03333333333333333,11166.666666666666,-9336.552640250851
CD,23.033333333333328,271092.44288466824,27212.455336641957
CL,7596.599999999994,28710192.55000273,13924593.754602784
COF,17819.300000000007,14274231.035977788,3448799.8018159694
COM,14.499999999999995,1933685.5851473466,668918.5947826694
CRU,0.06666666666666667,26296.296296296296,12347.042559025273
C,37185.60000000007,26496775.583492596,3931820.0018331306
DCH,19.100000000000005,171136.00000000006,-162900.59489581574
DDT,3213.699999999999,15894615.088335633,7877988.7996278405
DEC,98.2,2014598.357335968,138844.1557382796
DIS,30.53333333333334,223781.05574786328,80306.23511643003
DRF,33.599999999999994,129031.77182608702,-11851.297677001789
DW,299728.56666666747,29154183.846071012,8916559.19578051
EES,14.433333333333334,736016.188115192,120687.97118604356
EPO,228173.3333333332,40194947.50444277,14589113.156245507
ES,460.6666666666667,741786.7671523105,-44000.61098076081
ETC,18.0,229576.35063829788,20476.00406325463
EXO,5676.666666666666,1756133.999637333,414894.6092004546
FAL,393.0000000000002,689673.2947095438,217363.9617739324
FAN,80.53333333333332,117675.42620100894,-28911.482210796272
FC,43.500000000000014,108564.10553600884,-32520.419030446454
FET,1088.2666666666667,2624850.721340482,425461.33391944744
FFC,4.533333333333331,1912900.8355199993,274292.51249791705
FF,338696.66666666616,5744926.617084573,1951867.755579187
FIM,11052.199999999993,35102329.129850864,10686977.07958781
FLO,0.5333333333333333,7163.082398081535,-1504.566730184269
FLP,359.19999999999976,240502.89226255985,94712.53142765333
FLX,11635.666666666659,1548704.2889481187,424028.97998759546
FOD,203.73333333333326,85724.86506613757,20215.489473177255
F,211.6,490154.1324684938,465210.18979674723
GC,1441.0,599580.2159270796,276369.0810737049
GIN,894.9333333333332,1279396.7531641505,484736.50273350946
GL,9730.0,3831355.733178195,2252700.8033728227
GRA,1077.1333333333341,3125618.3279384207,989036.651129162
GRN,28843.333333333434,9619361.100892225,6647636.099434213
GV,89.7,131773.06959510568,1028.9947579642003
HCC,2315.3333333333335,1431009.796726522,302655.167671715
HCP,29015.33333333335,9382839.199298326,5356930.9300593985
HD,399.9999999999999,1467538.6956046354,252400.48356394243
HE3,6157.066666666664,1567639.9290990133,877776.6528547272
HER,8017.866666666671,30594031.39374814,17665808.676445115
HE,4087.9666666666667,1653316.4014307829,1364176.497336234
HMS,1631.666666666666,2831266.7195107965,819032.396821179
HOG,5.133333333333334,29467.291660570594,-5320.478386188224
HOP,610.3000000000002,1229771.0841200915,475879.17545218946
HPC,14.666666666666666,342222.2222222222,36495.109512655545
HSE,215.86666666666673,2427186.289206584,122139.99451080279
HSS,267.33333333333326,534158.1088704907,-42727.01471759799
H,68254.46666666672,7068873.740893405,5689557.912950678
IND,183.09999999999994,752240.3174748678,310272.0329678188
INS,37076.79999999998,5202801.600111506,1387143.602186703
I,619.4000000000004,563973.0461033665,-88110.92176007063
KOM,8355.600000000002,6567736.443267348,-168575.4912289558
LBH,1243.8000000000009,5275207.954875221,1558698.9048726535
LCR,43.16666666666667,74516.56889383816,-38912.1198461492
LC,197.66666666666666,1510776.6460254854,142588.33514174315
LDE,1243.766666666667,11848656.6851109,2365881.424968947
LDI,471.40000000000003,365859.1089850812,194135.41620833977
LIS,8.533333333333333,3312293.0430389945,-350114.2307967213
LIT,21.833333333333332,429486.42611683847,80210.66192181458
LOG,13.966666666666661,965916.719779333,238601.91547045592
LSE,758.2999999999998,6404270.5376075255,525830.8520348432
LTA,750.0666666666668,3175481.008390534,903926.9625111104
MAI,26196.800000000025,9043325.143811464,5938580.813496677
MB,196.4,1255075.725402355,-200545.98310285635
MCG,57890.00000000005,2052383.5361568457,609922.2107801032
MEA,4390.466666666666,27969393.456619803,7201406.138683382
MED,2124.2666666666655,2491792.5188987544,433375.6393011514
MFK,4096.799999999998,1132462.9709100726,142526.465251955
MGC,0.6,9504.79012917595,2069.488953435492
MG,8068.999999999999,598888.7783662272,185821.06982042175
MHL,461.59999999999974,2014169.7318824017,756182.3613400392
MHP,42.63333333333334,195456.6506786856,17059.30669053926
MPC,411.0,618679.998252,44264.518986024974
MTC,57.4,171413.42693146598,150289.66407919512
MTP,1770.5333333333335,4860952.987204304,3012797.2184470054
MUS,4807.066666666667,1107977.3767333697,193481.45109343785
MWF,211.33333333333331,53148.77352504233,-2808.559493687454
NAB,5313.333333333332,574089.7502774572,162286.49677400768
NA,15192.733333333319,380028.4834364203,380028.4834364203
NCS,73640.0,3342885.3649740396,2105439.351572514
NE,775.0000000000001,178900.53385303676,136734.86080387956
NFI,27600.0,426460.1746829026,167030.2426471361
NG,465.6666666666667,470638.66051656444,153144.3899191713
NR,35500.00000000001,13223454.654112244,2365264.3307636087
NST,110.26666666666665,210726.4745890169,95219.06419889013
NS,24545.600000000017,9799251.42867135,4986905.132975698
NUT,7907.599999999993,2512259.9688009317,1825483.6798733927
N,15315.599999999997,1670607.8057400684,1283727.4569856108
OLF,26.6,21373.357805624564,-16968.18749328692
OVE,23493.333333333332,2776584.5465821596,411422.82314000744
PCB,1081.166666666667,2304676.6269612173,393627.9890483454
PDA,319.9999999999998,945823.3608142484,308992.32384398096
PFE,462.33333333333337,329121.9134058362,104704.75498162083
PIB,59.466666666666676,70749.60208037827,19296.91371312006
POW,151.7,1370749.3745410342,334883.12055906904
PPA,552.9333333333329,158629.1451183107,74911.49725731478
PSH,69.36666666666667,701269.3688069759,256789.27934581976
PT,5552.600000000001,2969729.693406501,419402.32408591866
PWO,7270.666666666667,1885627.215609338,145677.84619836984
RAD,80.73333333333336,768721.8339650884,-122689.31086532414
RAM,269.2,740410.9595546874,120659.67539956041
RBH,1021.0333333333336,17496173.096217707,3133300.3889605263
RCO,2333.933333333329,2690132.6530413823,546867.9909397177
RDE,227.33333333333334,6396340.824993007,540976.2268172717
REA,1993.3333333333333,1223717.63789811,-58548.65108111923
RED,0.23333333333333334,11693.526426537937,2071.033545431586
REP,2319.466666666665,1574610.971537492,377077.0354801688
RGO,239.8333333333333,458177.8861699756,81427.510864995
RG,3458.3333333333335,4619602.2108625,2085335.084380933
ROM,184.3333333333333,622488.1377262059,1141.3426244533975
RSE,949.6000000000007,24753351.42715321,2738426.5412153536
RSH,24.76666666666667,603449.3589743591,-33399.015460208495
RSI,121.06666666666666,162463.81307298577,77277.63927581669
RTA,346.4666666666665,5848228.881103788,1275641.1269343167
SAR,115.69999999999999,3304303.7371325367,732184.74070755
SCN,619.7333333333336,1409627.217849749,731909.5840125567
SC,458.00000000000006,690451.1445567114,286953.0760976536
SDR,1.2333333333333334,90272.12241633334,16258.693604083102
SEA,3304.0,541748.622942305,181781.11150961666
SEN,2839.3333333333335,2075673.642563656,432753.8755956035
SFK,5305.066666666669,328185.9707499072,35011.21633514791
SF,593458.3333333335,9358961.221003814,3701078.965021158
SOI,1184.5333333333333,959249.4424411431,329565.12523476843
SOL,2151.6000000000004,2203581.2755050417,188017.7617621749
SP,1058.0000000000002,3267089.3002129826,741801.7015677177
SRD,12.933333333333334,808195.6539930092,96392.35294529282
STS,1.2666666666666668,231763.7453219048,46706.32635888556
SUD,1.4,112545.26315789472,10563.145257657025
SWF,3802.0,895540.9828007477,508865.9388549707
S,781.4,141884.55107614785,77938.36219631617
TAC,0.5666666666666667,306000.0,230228.87408627346
TA,84.43333333333334,1270719.2889381358,531363.0990254846
TCL,3717.100000000001,10916926.215973264,3066486.85241356
TCS,255.40000000000003,897893.5900278006,264650.1649246128
TC,127.23333333333333,693960.5891518624,285210.5254717042
THF,3045.3333333333317,1288342.2517187363,593560.3293099564
TPU,98.53333333333336,220852.37703510126,30753.099685703968
TRA,145.39999999999998,253788.97793425436,73565.19826779698
TRN,5005.333333333334,2195046.8421895234,869723.0052664215
TRU,2876.4000000000005,1324202.7975775674,258843.76530372017
TSH,133.7,3885309.1528046858,363163.04215433635
VEG,18076.200000000063,5607237.632563618,3037285.6762499064
VG,288.66666666666674,672705.2925582877,165959.4581415388
VIT,170.00000000000003,140192.64794182903,66521.38881362106
WAL,1336.1333333333332,9584546.579398045,-2303244.0002012337
WIN,668.6666666666666,4408731.933765959,665222.6614978639
WR,9.299999999999997,813734.4168900802,-512081.6077748455
WS,189.99999999999997,1313144.21967515,381823.59300910274
ZR,162.3333333333334,1956823.1123887503,733931.4650834398
