Ticker,Amount,Volume,Profit,Consumed
AAR,27.500000000000007,400569.0393547142,47772.08832313125,12.199999999999998
ABH,579.3333333333333,28138321.16945196,1025201.7965887407,34.621766381766385
ACS,12.399999999999995,2067265.4205607467,584588.1834409802,12.333333333333334
ADE,414.0,16849786.70866761,1943344.3655170684,24.549914529914528
ADR,9.13333333333333,591348.8874963423,99743.59500228464,8.833333333333332
ADS,11.699999999999994,1677302.6917053813,491891.4745561011,0
AEF,232.46666666666655,1103129.0875312798,344631.19250222563,0
AEN,0.2333333333333333,390756.7299749104,302645.8383282779,0
AFP,2.2666666666666666,68000.0,-578935.5645910116,2.8
AFR,20.233333333333334,381206.1891119482,89967.75419164241,20.26666666666667
AGS,0.6666666666666666,292004.937248062,108622.88538646055,0
AHP,83.73333333333332,977134.0551665388,272747.12639045785,0
AIR,11.199999999999996,2072173.6430452869,458239.8303377735,7.466666666666664
ALE,3607.0000000000014,5219533.593310525,2474786.19410734,3431.2461914529918
ALG,6899.199999999996,2035882.0825892356,838790.6575651474,5795.534883720937
ALO,42297.73333333341,7224763.85518416,5415992.095899842,43597.644
AL,27506.399999999998,22623534.42370216,5193081.905489017,25366.135999999995
AMM,10508.46666666667,1119153.731865832,519991.0426107022,9122.091111111116
ANZ,1.2000000000000002,0.0,-111394.38364058567,0.9333333333333332
APT,55.2,1290683.5462806001,579161.740374208,0
AR,2979.4999999999995,1197571.1987961764,1046704.8296266163,1518.999999999999
ASE,395.4333333333333,15647240.980362527,3203235.573139125,32.10886381766382
AST,802.5333333333333,1405946.3056216897,-163242.44077512503,770.8666666666667
ATA,194.79999999999995,5361294.6276378,1059625.8934906202,3.7981925925925943
ATP,54.20000000000001,1490070.0744862424,195885.52753718875,45.66666666666667
AUO,1043.6000000000001,663211.729253019,603708.6445175371,944.1000000000005
AU,629.4000000000003,1232358.2403367236,301066.2358309224,636.3333333333334
AWF,32.833333333333336,191429.08504643207,-5207.663704466663,8.899999999999997
AWH,50.333333333333336,1138114.8089155024,463447.89851603884,0
BAC,269.0,744300.001047366,479656.4914109078,107.60000000000001
BAI,80.93333333333332,917559.4264852678,443017.00276565284,82.70000000000002
BBH,2743.6666666666624,6917312.825459122,1357007.1113984266,2179.288237593272
BCO,4693.333333333332,2917131.909239874,844432.8209342295,4119.933333333333
BDE,2056.9333333333234,4681476.033349275,1196607.7818038466,828.5948728639264
BEA,13611.866666666709,3885513.687075774,2249241.182053356,14124.970542635674
BER,2631.766666666666,1248623.2232879372,1098567.4212845995,3105.1333333333323
BE,1552.5666666666662,3092294.146162371,-17987.927807157565,1315.4666666666667
BFP,7.7666666666666675,184711.59420289856,-83083.09027803101,6.3999999999999995
BFR,31.06666666666667,108721.45887617851,8726.505816527068,19.599999999999998
BGC,1529.3333333333328,873954.5396576731,34664.97770286181,1094.6666666666667
BGO,470.4999999999999,1160941.3023327733,302770.9342366284,416.4
BGS,1.2666666666666666,245567.35711286086,80772.80974720055,0
BHP,225.99999999999994,885279.0272044784,187991.91203677858,0
BID,0.26666666666666666,10313.555507377294,-1854.1849163859792,0.03333333333333333
BLE,51.96666666666666,148228.04866349598,42408.92324192953,36.43333333333333
BL,43.199999999999996,353644.32169357187,219378.25025528518,30.733333333333334
BMF,51.066666666666656,1428925.738805249,458984.03576680506,33.86666666666668
BND,36.0,11110.619469026547,-8929.376435646542,0
BOR,529.6000000000001,249658.5247626568,204364.11070184156,340.0666666666666
BOS,424.9333333333333,1910605.8767105187,799224.3824570465,301.53333333333336
BPT,9.2,49311.27164662171,20465.430067803776,0
BR1,4.2333333333333325,4487994.88697579,2346525.870894366,0
BR2,1.7666666666666668,1589749.112759494,409742.3354775507,0
BRM,5402.200000000001,1809189.1061987178,1649869.461158,5574.999999999998
BRO,339.2999999999999,734376.8193548637,265292.03700370423,281.79999999999995
BRP,13.2,66222.47191011235,11374.128754645117,0
BRS,0.4,135974.0333870968,24117.685627505558,0
BSC,26.533333333333328,856394.0161527165,118230.6297913654,14.499999999999995
BSE,3883.6999999999994,6380725.011184093,1256208.2553228883,4442.369917741594
BTA,347.9666666666674,537544.2589183344,59794.98125615405,23.67657920227917
BTS,4236.333333333333,2787992.647863663,2436983.048490504,3010.333333333335
BWH,9.666666666666666,67304.86244401791,17858.236352791275,0
BWS,57.76666666666666,1308022.8219516268,479358.6401735086,28.499999999999993
CAF,6551.400000000002,9691847.35691449,1597032.9443579172,6442.73333333333
CAP,714.0,171930.56917624522,34994.56573844103,493.9999999999999
CA,183.00000000000003,110623.15409090908,-11176.839325166702,76.13333333333333
CBL,39.63333333333333,3627527.883976288,-19959.613379284587,13.033333333333333
CBM,21.166666666666668,1341499.7737893567,92175.12697624935,15.133333333333333
CBS,83.6,3515063.336531128,331911.9584011157,15.233333333333327
CBU,2.2666666666666666,1475888.2375757573,174415.24801722568,0
CCD,3.6,205476.9230769231,44171.57817175604,0
CD,13.399999999999999,162977.49999999997,20382.62063857447,17.56666666666667
CF,317.5000000000002,1972212.0938715965,299758.91271718487,280.4000000000001
CHA,24.733333333333338,668217.4027019212,-516018.56812724675,24.76666666666666
CLI,2710.6000000000004,589927.9163062758,497197.52449868835,2312.366666666667
CL,8436.466666666664,33663468.43236583,17258197.597255208,7561.789444444444
COF,19328.19999999999,17362249.369200394,4858941.33440434,18318.68794701381
COM,12.199999999999998,1535665.9907504986,464521.4382221363,6.133333333333333
COT,1177.6333333333348,2853500.158004021,978900.3969441947,1181.0253333333328
CQL,2.2333333333333325,4324760.060382351,1808585.7565409548,0
