Company ID,Volume,Profit
b0115468fbde7bef396734426f611939,13746454.367094137,3249006.776864199
2cbe4e918d62d41672cfccc8da8c4ae1,8699336.60221897,2690059.5632255054
9e13580d9b23b189f6d35d89b03a5b8a,36706541.974078014,7121191.19271682
7892b20a62e2249ce6c3afbcdd4160b7,2228801.100229963,580005.6444264184
68d282e10b2650dee8c75ff76cb16d38,17460852.428779412,4920623.772901516
5d479eb7db287e948f8936ea172c03ce,9736730.493327262,2333121.0291154804
0f7f731c774c298106289e11ceacf521,11603089.006703904,2976761.199709967
88daf7bd9a16670dd20aa16fac3c6b58,8803957.321592147,2300802.757734744
14670212b0d102490cf64e961153879b,1893863.3744802119,608963.6881589614
0330d322dfefc2940eb8feb36b7cda9e,11870449.979635566,3004882.830560467
0af9f34f52190a871349c9766c27d5e5,12478759.508875633,3273840.5745186405
d62fd9a40b4336fc0214d44e9ea59d7d,5592572.207582821,1137553.56575939
eaf2f8833656f98396fdc8909ad1d889,7569311.977614512,2117363.382904894
f471bf7003ea3b343f09fda3b6706596,11625849.369732795,3040538.727322651
d2b11009b4d4d0f556e660ca8a54e638,7523405.37036649,1924894.7437426643
4421f931ec757d5f621ed20bd6304a55,2251603.033925878,605344.2510271053
1b7573142d8fe82b43601a7fce403e6b,1731991.6266738083,473883.0532623472
0eae34a7f494447a553bc4cc8f3067c0,2060101.7819643798,497461.81239557266
28c02ce9b6317fa8b118d37e59efa1cc,1307382.513319837,359163.05158526177
fce042b441704697d8f221b3e02dabdf,9285432.580628397,2504389.967302726
f58f8bb1b5fc39e55584e9704590261f,4385274.319748101,1301939.958853605
4e1e507ebac1708a37ee2f8e929039d2,13550769.165596982,3511959.661574362
273e42b865fc321453cb21845aac66da,15621575.443047749,2819365.7046759105
573110c8a07128cfb6bd5ec183a011cd,10282858.78957968,2712390.3450037483
2457d9fee968aaeec38da52cbfbc1709,4374300.668067247,1004530.1796075361
1b0fb4cf830557ff942219790999d657,4941927.918327518,1285967.2559483175
ff6204037ccb2362ef23a788bb5f84a4,7618872.097205702,2075716.7499433039
af6fa9320b1308c91f60b9fe2a23c06a,4453969.065316313,647325.8619376341
0e438faeca49d5541559f66d3955c847,9142880.341468774,2243557.141621297
84274e2296ac14d7e4a4ade9a796643e,6057687.579098876,1643832.6050169764
328bbbb2ebbea27aa642ba0400760895,4854816.811930329,1468981.0579301615
b123987de75deeebc306fbd4d7c93018,6471736.845942225,1803975.2585303253
87a510db650adddbc117dc5a9a254ee2,4966291.314227219,1230047.7431460419
7a7eb36aea89760562f9829cdbc1000f,8497700.248815782,2013569.1971716152
57411cbc7666175b3691eb39711c0b73,4304847.201542944,1157801.8124618633
e3c3528ccf5ddd43e03c8cf7f5575761,6559129.211072661,2117229.3958999235
34e3403f545e89b3a69e932361b9f41d,10922350.558573043,2736742.023715497
fdd40c89c07d75f4cb061bf57cf10746,11568611.596427893,3165432.882954826
27e70e204d9c9808e9614ccfc00828b9,9356746.055254968,2857917.913477173
60a186474a36abe0031de7953ac220fb,2500152.070322694,755104.0992524708
4474db46ced0e2e58751c5a1e65e3565,5479798.708282724,1572483.4334689104
f4ade3ae41afc2e8173ecd9889fab43d,12055017.353056993,3659042.6709622373
4f8120bd3ea50c44a1f42bf499295d81,11141703.580490617,2856306.419936431
358e3f9df7518e4003ad43279204b06e,4945394.467834403,1179400.583745838
305e22ed200784515d038d95b296994a,4160923.358865478,1399231.2358969986
2d3ba6415f036360ff819a6310e740dd,4139571.1174678123,1166221.7860702332
95d0a1820bf73be355b2d34f85875f49,10801312.335408237,2770758.9340841346
928e90515214b039cc4cef3d43ed7770,3568338.317836315,1106098.8582814834
c1a9cd31b968080fc807716ac38d295d,5118621.469102702,1656591.2020699482
427294b1dc65af1ba5e6ae6e96684777,6638966.284201254,2248349.716371592
23f650971b43f72cdb428defa0cd7cd0,8658903.799536373,2468786.51173145
b4bd9d1c842f640c13b0e52997a360b6,3742766.526385191,947016.1855892836
3d87c6bf30aac08e76b33e1a1f769072,2675592.4824426845,839764.0974069793
034b589f39c9203adde3ce37d4c8ed5f,2691798.5703882575,710431.7388736338
fb414c261da85e7ed5db20c602723378,13890812.03076867,3465342.8768953243
e4bee7b0f310aa079b9a6f77b15b141c,5042020.7909594625,1341281.486763005
bc22dadf6a993f55a4941f3345b15f4a,6507466.815629455,1507623.0397935375
8b4c2e4a2f5d0ad3047324f8360a55c3,1770423.844882259,559567.263684096
d9d179abe63779b6c23e19b4c7f1c0df,4425451.987705353,1339625.6502788607
1d4ed0f8acb4856efbee83d868f43032,3210087.3527578637,867659.2634282736
7a42b1382743550a69afb164045f18e2,3799657.1729556406,1342172.3098906607
7437fdf13d3a8f8acdbc832bb0c941f2,7297595.920014738,1790503.5945313259
fe6448d804083098744ef24fa332c498,3760071.3028466497,1014058.3633398954
d291e7ba83ee7cc84635653b98e17c2b,6668300.143335795,2037632.0185239713
4f3d9ec29a875104ceea094e30172c3b,5448554.97030224,1486156.5394538543
4364979bd23891267c1c547c579d8833,1694189.1416313204,447300.45467661216
08d186dcbe1d436f7006d25963e85de7,9695782.610230098,2163353.9602265856
1de740d1cd67fa86e8670ad6d28f537a,2181828.7789252093,807805.9190977508
44369c71ad37430db9c0862a8f0c7894,2956139.2753333254,970388.7149203133
ff3049304a99167fc4cc572f861b3d66,2652510.4804870836,863266.3275764587
83cfff7c57340c47f9358cb58c9cd90e,3013497.8154818085,936370.9940922993
e2adaca75a0d8b91f43337088113f5c8,1668280.6319677625,561978.1617497532
5214ad28cdd7b68695ca68bb1f1927f9,3336922.986234682,933005.6723929864
dad6774271287b6dc8416d4dc0e9dad3,1431616.2710693576,558145.6659611224
c40a945d24f24a9a4b99b56620a050d6,2505208.681403659,635893.1546992247
