Ticker,Amount,Volume,Profit,Consumed
BCO,5884.000000000004,3773246.6707027825,709299.824175061,5013.299999999999
BDE,1784.0666666666677,4095350.7530008405,389146.86180336296,852.5280394973544
BEA,16552.7333333334,4654501.460374799,2726597.6439807527,15468.478294573617
BER,3259.366666666666,1867645.3632840347,1689474.2927897435,3382.733333333335
BE,1691.3666666666675,3532992.7252251795,135939.95996709878,1427.933333333333
BFP,8.399999999999999,200715.78947368418,-37820.49608186054,6.133333333333335
BFR,22.46666666666667,74656.80099284928,1674.5003719625054,23.2
BGC,1662.6666666666667,1033738.1834075769,-148021.53463686374,1101.6666666666667
BGO,662.5000000000003,2136734.5735820294,461298.8194443956,547.2333333333333
BGS,0.6666666666666666,132584.34139784944,45109.61976106231,0
BHP,316.6666666666666,1542596.3685349212,352239.52974997123,0
BID,2.933333333333333,110056.41025641024,-69284.41787448048,0.03333333333333333
BLE,33.4,104850.42773703185,45744.33982550531,21.46666666666667
BL,38.06666666666668,208329.11659764955,84156.1438197937,28.933333333333337
BMF,95.43333333333332,3197876.354643533,1173413.5856203528,68.93333333333335
BND,56.666666666666664,16887.16814159292,-7668.770163242614,0
BOR,691.2,372156.5879796111,315480.6184491867,414.5
BOS,547.4666666666666,2302242.129549045,732045.7980613027,405.39999999999986
BPT,5.200000000000001,27162.777777777785,13006.296589573669,0
BR1,4.666666666666665,4536503.581333332,1595689.1467927515,0
BR2,0.5333333333333333,489816.051139785,53086.53078392956,0
BRM,6021.866666666666,1148366.8087360554,978100.6390979055,5754.499999999998
BRO,456.49999999999994,832340.873381846,187942.83364136989,330.76666666666665
BRP,5.2,26029.885057471263,3983.4063086041965,0
BRS,0.4666666666666666,183441.45919354836,22821.37713199637,0
BSC,130.86666666666667,4826276.587420247,-683945.6152095116,105.6
BSE,3792.866666666666,6229400.300251118,893997.4029286797,4432.301685548786
BTA,351.43333333333396,546471.8359754238,12382.158833229167,24.98197820512816
BTS,4194.666666666667,1802053.1478591396,1467961.2071870617,3745.333333333333
BWH,8.666666666666666,42370.370370370365,-2934.7832517363877,0
BWS,75.26666666666667,1864874.1477692502,654731.543921246,35.29999999999999
CAF,7803.400000000001,11612182.534618335,3119428.3842043593,6977.599999999996
CAP,904.0,218729.57903482547,-9628.450250772155,618.5
CA,128.39999999999998,77977.82716118527,-2629.326463108364,86.50000000000003
CBL,45.96666666666666,4205625.208864052,-174900.865019931,20.633333333333344
CBM,23.133333333333336,1464577.2622602535,18102.608815983804,11.933333333333332
